Year,FirstBattingTeamName,SecondBattingTeamName,MatchName,MatchDateNew,Commentss,1Summary,2Summary
2022,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants VS Kolkata Knight Riders,7-May-22,Lucknow Super Giants Won by 75  Runs ,176/7 (20.0 Overs),101/10 (14.3 Overs)
2022,Punjab Kings,Rajasthan Royals,Punjab Kings VS Rajasthan Royals,7-May-22,Rajasthan Royals Won by 6  Wickets ,189/5 (20.0 Overs),190/4 (19.4 Overs)
2022,Mumbai Indians,Gujarat Titans,Gujarat Titans VS Mumbai Indians,6-May-22,Mumbai Indians Won by 5  Runs ,177/6 (20.0 Overs),172/5 (20.0 Overs)
2022,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals VS Sunrisers Hyderabad,5-May-22,Delhi Capitals Won by 21  Runs ,207/3 (20.0 Overs),186/8 (20.0 Overs)
2022,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore VS Chennai Super Kings,4-May-22,Royal Challengers Bangalore Won by 13  Runs ,173/8 (20.0 Overs),160/8 (20.0 Overs)
2022,Gujarat Titans,Punjab Kings,Gujarat Titans VS Punjab Kings,3-May-22,Punjab Kings Won by 8  Wickets ,143/8 (20.0 Overs),145/2 (16.0 Overs)
2022,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders VS Rajasthan Royals,2-May-22,Kolkata Knight Riders Won by 7  Wickets ,152/5 (20.0 Overs),158/3 (19.1 Overs)
2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad VS Chennai Super Kings,1-May-22,Chennai Super Kings Won by 13  Runs ,202/2 (20.0 Overs),189/6 (20.0 Overs)
2022,Lucknow Super Giants,Delhi Capitals,Delhi Capitals VS Lucknow Super Giants,1-May-22,Lucknow Super Giants Won by 6  Runs ,195/3 (20.0 Overs),189/7 (20.0 Overs)
2022,Rajasthan Royals,Mumbai Indians,Rajasthan Royals VS Mumbai Indians,30-Apr-22,Mumbai Indians Won by 5  Wickets ,158/6 (20.0 Overs),161/5 (19.2 Overs)
2022,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans VS Royal Challengers Bangalore,30-Apr-22,Gujarat Titans Won by 6  Wickets ,170/6 (20.0 Overs),174/4 (19.3 Overs)
2022,Lucknow Super Giants,Punjab Kings,Punjab Kings VS Lucknow Super Giants,29-Apr-22,Lucknow Super Giants Won by 20  Runs ,153/8 (20.0 Overs),133/8 (20.0 Overs)
2022,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals VS Kolkata Knight Riders,28-Apr-22,Delhi Capitals Won by 4  Wickets ,146/9 (20.0 Overs),150/6 (19.0 Overs)
2022,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans VS Sunrisers Hyderabad,27-Apr-22,Gujarat Titans Won by 5  Wickets ,195/6 (20.0 Overs),199/5 (20.0 Overs)
2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore VS Rajasthan Royals,26-Apr-22,Rajasthan Royals Won by 29  Runs ,144/8 (20.0 Overs),115/10 (19.3 Overs)
2022,Punjab Kings,Chennai Super Kings,Punjab Kings VS Chennai Super Kings,25-Apr-22,Punjab Kings Won by 11  Runs ,187/4 (20.0 Overs),176/6 (20.0 Overs)
2022,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants VS Mumbai Indians,24-Apr-22,Lucknow Super Giants Won by 36  Runs ,168/6 (20.0 Overs),132/8 (20.0 Overs)
2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore VS Sunrisers Hyderabad,23-Apr-22,Sunrisers Hyderabad Won by 9  Wickets ,68/10 (16.1 Overs),72/1 (8.0 Overs)
2022,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders VS Gujarat Titans,23-Apr-22,Gujarat Titans Won by 8  Runs ,156/9 (20.0 Overs),148/8 (20.0 Overs)
2022,Rajasthan Royals,Delhi Capitals,Delhi Capitals VS Rajasthan Royals,22-Apr-22,Rajasthan Royals Won by 15  Runs ,222/2 (20.0 Overs),207/8 (20.0 Overs)
